fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
1176,12,107.8,1.1,1.0,98.0,1176,12,107.8,1.1,1.0,98.0,0
2058,21,88.2,0.9,1.0,93.5,2058,21,88.2,0.9,1.0,93.5,0
1372,14,98.0,1.0,1.0,98.0,1372,14,98.0,1.0,1.0,98.0,0
3038,31,98.0,1.0,1.0,94.9,3038,31,98.0,1.0,1.0,94.9,0
2254,23,88.2,0.9,1.0,93.9,2254,23,88.2,0.9,1.0,93.9,0
1764,18,98.0,1.0,1.0,98.0,1764,18,98.0,1.0,1.0,98.0,0
1078,11,88.2,0.9,0.9,89.8,1078,11,88.2,0.9,0.9,89.8,0
4018,41,98.0,1.0,1.0,95.7,4018,41,98.0,1.0,1.0,95.7,0
3234,33,98.0,1.0,1.0,95.1,3234,33,98.0,1.0,1.0,95.1,0
2646,27,88.2,0.9,1.0,94.5,2646,27,88.2,0.9,1.0,94.5,0
2058,21,98.0,1.0,1.0,93.5,2058,21,98.0,1.0,1.0,93.5,0
4900,50,88.2,0.9,1.0,94.2,4900,50,88.2,0.9,1.0,94.2,0
4214,43,98.0,1.0,1.0,95.8,4214,43,98.0,1.0,1.0,95.8,0
3626,37,98.0,1.0,1.0,95.4,3626,37,98.0,1.0,1.0,95.4,0
3038,31,98.0,1.0,1.0,94.9,3038,31,98.0,1.0,1.0,94.9,0
5880,60,98.0,1.0,1.0,94.8,5880,60,98.0,1.0,1.0,94.8,0
5096,52,88.2,0.9,1.0,94.4,5096,52,88.2,0.9,1.0,94.4,0
4606,47,98.0,1.0,1.0,96.0,4606,47,98.0,1.0,1.0,96.0,0
4018,41,98.0,1.0,1.0,95.7,4018,41,98.0,1.0,1.0,95.7,0
6860,70,98.0,1.0,1.0,95.3,6860,70,98.0,1.0,1.0,95.3,0
6076,62,98.0,1.0,1.0,94.9,6076,62,98.0,1.0,1.0,94.9,0
5586,57,98.0,1.0,1.0,96.3,5586,57,98.0,1.0,1.0,96.3,0
4998,51,98.0,1.0,1.0,96.1,4998,51,98.0,1.0,1.0,96.1,0
7840,80,98.0,1.0,1.0,95.6,7840,80,98.0,1.0,1.0,95.6,0
7056,72,98.0,1.0,1.0,95.4,7056,72,98.0,1.0,1.0,95.4,0
6566,67,98.0,1.0,1.0,96.6,6566,67,98.0,1.0,1.0,96.6,0
5880,60,88.2,0.9,1.0,94.8,5880,60,88.2,0.9,1.0,94.8,0
8820,90,98.0,1.0,1.0,95.9,8820,90,98.0,1.0,1.0,95.9,0
8036,82,98.0,1.0,1.0,95.7,8036,82,98.0,1.0,1.0,95.7,0
7448,76,88.2,0.9,1.0,95.5,7448,76,88.2,0.9,1.0,95.5,0
6860,70,98.0,1.0,1.0,95.3,6860,70,98.0,1.0,1.0,95.3,0
9702,99,88.2,0.9,1.0,95.1,9702,99,88.2,0.9,1.0,95.1,0
9016,92,98.0,1.0,1.0,95.9,9016,92,98.0,1.0,1.0,95.9,0
8428,86,98.0,1.0,1.0,95.8,8428,86,98.0,1.0,1.0,95.8,0
7840,80,98.0,1.0,1.0,95.6,7840,80,98.0,1.0,1.0,95.6,0
10682,109,98.0,1.0,1.0,95.4,10682,109,98.0,1.0,1.0,95.4,0
9898,101,88.2,0.9,1.0,95.2,9898,101,88.2,0.9,1.0,95.2,0
9408,96,98.0,1.0,1.0,96.0,9408,96,98.0,1.0,1.0,96.0,0
8820,90,98.0,1.0,1.0,95.9,8820,90,98.0,1.0,1.0,95.9,0
11662,119,98.0,1.0,1.0,95.6,11662,119,98.0,1.0,1.0,95.6,0
10878,111,98.0,1.0,1.0,95.4,10878,111,98.0,1.0,1.0,95.4,0
10388,106,98.0,1.0,1.0,96.2,10388,106,98.0,1.0,1.0,96.2,0
9702,99,88.2,0.9,1.0,95.1,9702,99,88.2,0.9,1.0,95.1,0
12642,129,98.0,1.0,1.0,95.8,12642,129,98.0,1.0,1.0,95.8,0
11858,121,98.0,1.0,1.0,95.6,11858,121,98.0,1.0,1.0,95.6,0
11368,116,98.0,1.0,1.0,95.5,11368,116,98.0,1.0,1.0,96.3,0
10682,109,98.0,1.0,1.0,95.4,10682,109,98.0,1.0,1.0,95.4,0
13622,139,98.0,1.0,1.0,95.9,13622,139,98.0,1.0,1.0,95.9,0
12838,131,98.0,1.0,1.0,95.8,12838,131,98.0,1.0,1.0,95.8,0
12250,125,88.2,0.9,1.0,95.0,12250,125,88.2,0.9,1.0,95.7,0
11662,119,98.0,1.0,1.0,95.6,11662,119,98.0,1.0,1.0,95.6,0
14504,148,88.2,0.9,1.0,95.4,14504,148,88.2,0.9,1.0,95.4,0
13818,141,98.0,1.0,1.0,96.0,13818,141,98.0,1.0,1.0,96.0,0
13230,135,98.0,1.0,1.0,95.2,13230,135,98.0,1.0,1.0,95.2,0
12642,129,98.0,1.0,1.0,95.8,12642,129,98.0,1.0,1.0,95.8,0
15484,158,98.0,1.0,1.0,95.6,15484,158,98.0,1.0,1.0,95.6,0
14700,150,88.2,0.9,1.0,95.5,14700,150,88.2,0.9,1.0,95.5,0
14210,145,98.0,1.0,1.0,95.4,14210,145,98.0,1.0,1.0,95.4,0
13622,139,98.0,1.0,1.0,95.9,13622,139,98.0,1.0,1.0,95.9,0
16464,168,98.0,1.0,1.0,95.7,16464,168,98.0,1.0,1.0,95.7,0
15680,160,98.0,1.0,1.0,95.6,15680,160,98.0,1.0,1.0,95.6,0
15190,155,98.0,1.0,1.0,95.5,15190,155,98.0,1.0,1.0,95.5,0
14504,148,88.2,0.9,1.0,95.4,14504,148,88.2,0.9,1.0,95.4,0
17444,178,98.0,1.0,1.0,95.8,17444,178,98.0,1.0,1.0,95.8,0
16660,170,98.0,1.0,1.0,95.7,16660,170,98.0,1.0,1.0,95.7,0
16170,165,98.0,1.0,1.0,95.7,16170,165,98.0,1.0,1.0,95.7,0
15484,158,98.0,1.0,1.0,95.6,15484,158,98.0,1.0,1.0,95.6,0
18424,188,98.0,1.0,1.0,96.0,18424,188,98.0,1.0,1.0,96.0,0
17640,180,98.0,1.0,1.0,95.9,17640,180,98.0,1.0,1.0,95.9,0
17052,174,88.2,0.9,1.0,95.3,17052,174,88.2,0.9,1.0,95.3,0
16464,168,98.0,1.0,1.0,95.7,16464,168,98.0,1.0,1.0,95.7,0
19306,197,88.2,0.9,1.0,95.6,19306,197,88.2,0.9,1.0,95.6,0
18620,190,98.0,1.0,1.0,96.0,18620,190,98.0,1.0,1.0,96.0,0
18032,184,98.0,1.0,1.0,95.4,18032,184,98.0,1.0,1.0,95.4,0
17444,178,98.0,1.0,1.0,95.8,17444,178,98.0,1.0,1.0,95.8,0
20286,207,98.0,1.0,1.0,95.7,20286,207,98.0,1.0,1.0,95.7,0
19502,199,88.2,0.9,1.0,95.6,19502,199,88.2,0.9,1.0,95.6,0
18914,193,88.2,0.9,1.0,95.0,18914,193,88.2,0.9,1.0,95.0,0
18326,187,88.2,0.9,1.0,95.4,18326,187,88.2,0.9,1.0,95.4,0
21168,216,88.2,0.9,1.0,95.4,21168,216,88.2,0.9,1.0,95.4,0
20482,209,98.0,1.0,1.0,95.7,20482,209,98.0,1.0,1.0,95.7,0
19894,203,98.0,1.0,1.0,95.2,19894,203,98.0,1.0,1.0,95.2,0
19306,197,98.0,1.0,1.0,95.6,19306,197,98.0,1.0,1.0,95.6,0
22148,226,98.0,1.0,1.0,95.5,22148,226,98.0,1.0,1.0,95.5,0
21364,218,88.2,0.9,1.0,95.4,21364,218,88.2,0.9,1.0,95.4,0
